k,v
000000000000000000000000000000000000000000,3
000000000000000000000000000000020000001000,3
000000000000000002000000100000020000001000,3
000000000010000002000000100000020000001020,5
000000000010000002000000102000020100001020,5
000200000010000002010000102000020100001020,5
000200000010100002010000102000020100201020,1
000200000010100002010020102001020100201020,1
000200002010100102010020102001020100201020,5
020201002010100102010020102001020100201020,6
020201002010100102010020102001020100201221,4
020201002010100102010020102001021102201221,4
000000000010000002000000100000020000001200,4
000000000010000002000002100000120000021000,2
