k,v
000000000000000000000000000000000000000000,3
000000000000000000000000000000020000001000,3
000000000000000002000000100000020000001000,3
000000000010000002000000100000020002001000,4
000000000010000002000000100000020002001120,5
000000000010000002000000102000020102001120,5
000200000010000002010000102000020102001120,2
000200000010000002010000102000020102211120,1
000200000010000002010000102001220102211120,1
000200000010000002010012102001220102211120,1
000200002010000102010012102001220102211120,5
000200002010100102010012102001220102211122,1
000000000010000002000000100000020000001200,4
000000000010000002000000120000021000001200,4
000000000010000002100000120000021000201200,1
000000000010000002100020120001021000201200,1
000000002010000102100020120001021000201200,6
000000002010000102100020120001021000201221,3
000100002012000102100020120001021000201221,2
000100002012000102100020120001221000211221,6
000120002012000102100020120001221010211221,1
010120002012000102100020120001221012211221,2
010120002012000102100021120201221012211221,6
000000000010000002100000120000021000001202,1
000000000010000002100000120000021002101202,1
000000000010000002100020120001021002101202,4
000000000011000002100020120021021002101202,4
000210000011000002100020120021021002101202,6
000210000011000002100020120221021012101202,6
000210000011000002101220120221021012101202,0
000000000012000002100000120000021000001200,6
000000000012000002100000120000021020001201,1
000000000012000002100000120000021022101201,1
000000000012000002100020120001021022101201,6
000000000012000002102020120101021022101201,1
000200000012000102102020120101021022101201,6
000200200012010102102020120101021022101201,2
000200200012010102102020120101221022111201,1
000200201012010102102020120101221022111221,1
010200201012010102102020120121221022111221,2
010200201012010122102021120121221022111221,2
010200201112010122102021120121221222111221,0
010220201112010122102121120121221222111221,5
012220201112010122102121121121221222111221,5
012220201112210122112121121121221222111221,5
012221201112212122112121121121221222111221,0
000000000010000102000020100001020020211002,2
000000000010000102000020100201120020211002,6
000000000010000102001020100201120020211022,5
000000000010000102001022100201120120211022,6
000000000010010122001022100201120120211022,2
000200000110010122001022100201120120211022,1
000200001110010122001022102201120120211022,5
000200001110210122011022102201120120211022,0
002200001110210122011022102201120121211022,6
002200101110210122011022102201120121211222,0
002200101110210122011222102211120121211222,5
022201101110210122011222102211120121211222,0
022201121110211122011222102211120121211222,0
122201121110211122011222102211122121211222,4
122201121110211122211222112211122121211222,4
000000000010000002000000100000020000001020,5
000000000010000002000000102000020100001020,5
000000000010000002010000102000020102001020,4
000200002010100102010012102021220102211120,1
010202002010100102010012102021220102211120,0
010202002010100102010112102021220102211122,0
010202022010101102010112102021220102211122,4
010202022010101102010112102021221122211122,6
010202022010101122010112102121221122211122,2
010202022110101122010112122121221122211122,0
110202022110101122012112122121221122211122,2
111202022110121122012112122121221122211122,6
111202122110121122212112122121221122211122,4
000000000012000102102020120121021022101201,2
000000000012000102102020120121221022111201,0
000200000010000002010000102020021102001120,2
000200000010000002010000102020021102211120,1
000200000010000002010020102021021102211120,1
000200002010000102010020102021021102211120,5
000200002010100102010020102021221102211120,6
000200000010000002010020102001020102211120,1
000200000010200102010020102001020102211120,1
000200001010200102010020102021020102211120,2
000200001010200102010220102021120102211120,0
010200002010100122010012102001220102211122,2
012200002110100122010012102001220102211122,5
012201002110100122010012102021220102211122,6
012201002110100122010012102021222112211122,6
012201002110100122010212102121222112211122,0
012201002110101122012212102121222112211122,6
000200000010000002000000100000020000001000,4
000200000010000002000000100000020000001120,1
000200000010000002000000100000020000121120,2
000200000010000002000002100000120000121120,2
000200000210000012000002100000120000121120,4
000200000210000012000002100002121000121120,0
000200000210000012000002100002121201121120,4
000200000210000012200002110002121201121120,4
000200000211000012200002112002121201121120,5
000200000211000012210022112002121201121120,1
000200002211000112210022112002121201121120,5
000220002211100112210022112002121201121120,2
001220002211100112210022112002121201121122,0
021220002211100112210022112012121201121122,6
021220002211100112210222112012121211121122,0
021220002211101112210222112212121211121122,0
021222012211101112210222112212121211121122,0
121222012211101112212222112212121211121122,6
000000000010000102000020100001020000211022,5
000000000010000102000020102001020100211022,5
000000002010000102010020102001020100211022,5
000000002010100102010020102001020120211022,4
000000002010100102010020102001022120211122,6
000200002010100102010020102101022120211122,2
000200002010100102010022102101122120211122,5
000201002010100102010022102101122122211122,4
000201002010100102210022112101122122211122,4
000221002011100102210022112101122122211122,0
020221002011100102210022112111122122211122,6
020221002011120102211022112111122122211122,0
020221202011120102211122112111122122211122,0
020221222011121102211122112111122122211122,0
120221222011121122211122112111122122211122,2
000200000010000002010000102000020100001020,0
000200000010000002010000102020020101001020,5
000200000010100002010000102020020101021020,6
000200000010100002010000102020020101021221,5
000201000010100002010000102020220101021221,6
000201000010100002010002102020220111021221,2
000201000010100012010002102020222111021221,4
000201000210100012010002112020222111021221,6
000201000210100012012002112120222111021221,6
000201200210110012012002112120222111021221,2
001201200210110012012002112120222111221221,1
001201200210110012012202112121222111221221,0
001201200210111012012222112121222111221221,1
001201202210111112012222112121222111221221,1
011201222210111112012222112121222111221221,0
111201222210111112212222112121222111221221,4
000000002010100102010020102001220100211022,0
000000002010100102010022102001220101211022,4
000000002010100102010022102001220121211122,0
000200000010000002000000100000120200121120,4
000200000010000002000002100000121200121120,2
000200000010000012000002100002121200121120,0
000200002211100112210022112002121201121122,5
020201002211100112210022112002121201121122,2
021201002211100112210022112002121221121122,6
021201002211100112210022112122121221121122,0
021201002211102112210122112122121221121122,4
021211022211102112210122112122121221121122,0
121211022211102112212122112122121221121122,6
000020000011000002100020120001021002101202,0
000020000011000002100020120011021022101202,3
000120000011000002100020120211021022101202,6
000120000011000002101220120211021022101202,0
000120000011021002101220120211021022101202,6
000120100011021002101220120211021022101222,5
000200000010000012000002100000121202121120,1
000200000010000012000002102001121202121120,5
000200000010000012010022102001121202121120,5
000200000210100012010022102001121202121120,4
000000000010200002010000102020021102001120,3
000100000010200002010000102020021102201120,1
000100000010200002010020102021021102201120,1
000100000010200102010220102021021102201120,0
000100000010201102010220122021021102201120,1
000100021010201102010220122021021102201120,6
000100021010201102010220122021021102221121,0
100100021010201102010220122021221102221121,6
100100021010201102010220122221221112221121,1
001200020110001012000202102010120122021012,0
101200020110001012000202102210120122021012,6
101200020110021012001202102210120122021012,6
101200120110021012001202102210120122221012,1
101200120110021012001222102211120122221012,1
000200001010200102010020102001020102211122,0
000200001010200102010220102011020102211122,1
000200000011000002100020120001021002101202,4
010200201012010102102020120101221222111221,5
010220201012010102102020121101221222111221,2
010220201012010122102021121101221222111221,2
000100000010200012010002102020120101221020,4
000100000010200012010002102020122101221120,0
000002002010100102010020102001220101211022,2
012220201112010122102021121101221222111221,0
020002002010100102010021102001220101211022,4
000000000010000102000020100001120020211022,5
000000000010000102000020102001120120211022,5
012220201112010122122021121111221222111221,0
000000000010000102010022102001120120211022,3
000100000010000102010022102201120120211022,6
000100000010020102011022102201120120211022,0
012220201112210122122121121111221222111221,5
000100000010202012010102102020122101221120,1
000000001010200102010020102021020102211122,4
000000001010200102010020122021021102211122,1
000000002010100102010020102021220101211022,1
010000002010100102010022102021220101211022,0
000200000010100002010000102020020101001220,6
000000000010000102000020100001020000201020,5
000000000010000102000020102001020100201020,5
000000000010200102010020102001020100201020,1
000200001010200102010020102001020100201020,4
000202001010200102010020102001020100201120,0
020202001010200102010020102001020101201120,6
020202001010200102010020102001020101221121,0
000200000010010102001022100201120120211022,1
000200001010010122001022100201120120211022,2
000202001110210122011022102201120121211022,4
000200000010000102010020102001220102211120,2
000000000010200102010020102001020100211022,1
002202001110210122011022102201120121211122,4
002202001110210122011022122201121121211122,6
002202101110210122011022122221121121211122,0
022202101110210122011122122221121121211122,0
022202121110211122011122122221121121211122,0
122202121110211122211122122221121121211122,4
000200000010000102010020102001020100211022,5
000200002010100102010020102001020100211022,1
010200002010100102010020102001220100211022,5
010201002010100102010020102001220120211022,2
000200000010000002000000102000121200121120,5
000200000010000002010000102002121200121120,5
000000000010000102010020102021020102201120,1
000000001010200102010220102021020102211120,0
000000021010201102010220102021020102211120,6
000200000010000102000020100001020000201021,1
000200000010100002010002102002121200121120,0
000200000010100002010022102002121201121120,1
000200002010100102010022102002121201121120,1
010200002010100102010022102022121201121120,2
010200002010100112010022102022121201121122,4
010200002010100112210022112022121201121122,4
010200002211100112210022112022121201121122,5
010201002211100112210022112022121221121122,6
012201002211100112210022112122121221121122,0
012221002211100112210122112122121221121122,0
012221022211101112210122112122121221121122,0
112221022211101112212122112122121221121122,6
000000002010100102010020102001020102221120,3
000100002010100102010020102001220102221120,2
020100002010100102010021102001220102221120,4
020100002010100102010021122001221102221120,6
020102002010100102010021122001221102221121,6
000202001010200102010020102021120102211120,1
010202001010200102010020102021122102211120,2
010202001010200122010021102021122102211120,2
012202001110200122010021102021122102211120,0
012202001110200122010121122021122102211120,6
012202001110200122010121122021122122211121,6
012202001110200122012121122121122122211121,6
012202201110210122012121122121122122211121,0
012202221110211122012121122121122122211121,0
112202221110211122212121122121122122211121,4
000200000010000102010220102021021102211120,0
000200002010001102010220102021021102211120,5
000120002012000102100020120001021000211221,2
000120002012000102100022120001121000211221,1
010120002012000102100022120001121020211221,0
010120002012000102100022120201121021211221,6
010120002012020102101022120201121021211221,6
010120102012020102101022120221121021211221,0
010120102012022102101122120221121021211221,5
010120102012022102101122122221121121211221,5
010120102012222102111122122221121121211221,5
010121122012222102111122122221121121211221,0
110121122012222122111122122221121121211221,2
010200002010100102010012102021220102211122,2
010200002210100112010012102021220102211122,4
010202002210100112010012102021221102211122,4
010202002210100112210012112021221102211122,4
010222002211100112210012112021221102211122,2
011222002211100112210212112021221102211122,0
011222022211101112210212112021221102211122,6
211222022211101112210212112021221112211122,6
211222022211101112212212112121221112211122,6
000200000010000002010200102021021102211120,0
000200000010001002010220102021021102211120,1
000200000010000102000022100001120120211122,6
000200000010000102000022100101122120211122,4
000200000010000102000022112101122120211122,4
020200001010200102010020121001022100211122,0
000210000011000002100020120021021012101222,5
000210000011000002100020122021021112101222,5
000200002010100102010012102001222102211120,5
000200000010200102010020102001020100211122,1
020200001010200102010020102001020100211122,4
020200001010200102010020122001021100211122,5
000200000010000102010020102001020100201020,5
000200002010100102010020102001020100211220,6
000200002010100102010020102001020102211221,6
000200002010100102010020102001220112211221,2
000200000010000102010020122021021102211120,2
000200000010000102010022122021121102211120,5
000200000010100102210022122021121102211120,2
000200002010100112210022122021121102211120,4
000200002211100112210022122021121102211120,1
010202002211100112210022122021121102211120,2
011202002211100112210222122021121102211120,0
000200001010000102000020100201020021221001,4
000200001010000102000020100201020021221121,5
000200001010000102000020102201020121221121,5
000200001010000102010020102201022121221121,5
000210000011021002101220120221021012101202,6
000200000010001002010200102020021102001120,5
000200000010101002010200102020021102021120,0
000210100011021002101220120221021012101222,5
000200010010101002010200102020221102021120,2
200200010010101002010201102020221102021120,5
200201010010101002010201122020221102021120,6
200201010010101002010201122020221122021121,6
200201010010101002210201122120221122021121,4
200221010011101002210201122120221122021121,6
200221010011121002211201122120221122021121,6
200221110011121002211201122120221122221121,1
000200001010100102010020102201222121221121,6
000200001010120102011020102201222121221121,2
000200001010120122011021102201222121221121,2
000200201110120122011021102201222121221121,5
020201201110120122011021102201222121221121,4
020201201110120122011021112221222121221121,0
022201201110120122011121112221222121221121,4
022201201112120122111121112221222121221121,4
022211201112122122111121112221222121221121,0
000200000010000122010021102001220102211120,2
000200000110200122010021102001220102211120,1
000202001110200122010021102001220102211120,4
000202001110200122010021122001221102211120,6
000202001110200122010021122021221102211121,4
000202001112200122110021122021221102211121,0
002202001112200122110121122021221102211121,4
022212001112200122110121122021221102211121,6
022212001112200122110121122221221112211121,6
022212001112220122111121122221221112211121,6
022212101112222122111121122221221112211121,0
000200001010000102000020100001020022201001,4
000200001010000102000020100001020022201121,6
000200001010000102000020100101022022201121,5
000200001010000102000020100121022122201121,4
